episode_id,method,outage_duration,outage_profile,seed,episode_seed,key_scheme,ablation_row,replication_lag,topology,source_node,reconnect_node,ttr_seconds,epoch_guard_result,tau_star,scenario_id,n_actions,n_eligible,n_duplicate,n_stale,n_escalated,n_invalidated,n_unsafe,unsafe_action_rate
0,cold_restart,0,no_outage,42,1000560805678195632,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
1,cold_restart,0,no_outage,42,838209000473952722,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
2,cold_restart,0,no_outage,42,4469928697249471659,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
3,cold_restart,0,no_outage,42,6375541886162054255,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
4,cold_restart,0,no_outage,42,5752506108973990879,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
5,cold_restart,0,no_outage,42,7740480619141972048,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
6,cold_restart,0,no_outage,42,5402195957621709605,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
7,cold_restart,0,no_outage,42,5071071186620630946,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
8,cold_restart,0,no_outage,42,2996550076485922724,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
9,cold_restart,0,no_outage,42,1659610156106784811,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
10,cold_restart,0,no_outage,42,5026695072880194192,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
11,cold_restart,0,no_outage,42,4605303971865583238,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
12,cold_restart,0,no_outage,42,514123296406967061,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
13,cold_restart,0,no_outage,42,674484758029797735,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
