temperature,tau,fmr,n_false_match,n_total,ci_low,ci_high,source
0.0,0.0,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.01,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.02,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.03,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.04,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.05,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.06,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.07,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.08,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.09,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.0,0.1,0.985,197,200,0.9568335194437211,0.9948858548155076,dedicated_negatives
0.0,0.11,0.97,194,200,0.9361048802675267,0.9861798741692518,dedicated_negatives
0.0,0.12,0.97,194,200,0.9361048802675267,0.9861798741692518,dedicated_negatives
0.0,0.13,0.955,191,200,0.9167024063390322,0.9761477282752958,dedicated_negatives
0.0,0.14,0.925,185,200,0.8799554020266798,0.9540254929427476,dedicated_negatives
0.0,0.15,0.895,179,200,0.8448186177864638,0.9302930375380627,dedicated_negatives
0.0,0.16,0.835,167,200,0.7773410172613647,0.8800321587733603,dedicated_negatives
0.0,0.17,0.805,161,200,0.744558352034882,0.8539455843549424,dedicated_negatives
0.0,0.18,0.79,158,200,0.7283526118460081,0.8407167047213658,dedicated_negatives
0.0,0.19,0.76,152,200,0.69626534544272,0.8139347314797533,dedicated_negatives
0.0,0.2,0.745,149,200,0.6803694869280502,0.8003959701719726,dedicated_negatives
0.0,0.21,0.715,143,200,0.648845269187895,0.773050948267227,dedicated_negatives
0.0,0.22,0.715,143,200,0.648845269187895,0.773050948267227,dedicated_negatives
0.0,0.23,0.7,140,200,0.6332080400667355,0.759253557565936,dedicated_negatives
0.0,0.24,0.67,134,200,0.602165564130804,0.7314267938569671,dedicated_negatives
0.0,0.25,0.64,128,200,0.5714139956562682,0.7033091226866021,dedicated_negatives
0.0,0.26,0.61,122,200,0.5409361758928832,0.6749177028050861,dedicated_negatives
0.0,0.27,0.59,118,200,0.5207633107255152,0.655844408209187,dedicated_negatives
0.0,0.28,0.545,109,200,0.4757848503696115,0.6125190090977398,dedicated_negatives
0.0,0.29,0.525,105,200,0.45597270710507,0.5930849925990139,dedicated_negatives
0.0,0.3,0.475,95,200,0.4069150074009861,0.54402729289493,dedicated_negatives
0.0,0.31,0.455,91,200,0.38748099090226035,0.5242151496303886,dedicated_negatives
0.0,0.32,0.43,86,200,0.36334204488394795,0.49929639594461706,dedicated_negatives
0.0,0.33,0.41,82,200,0.34415559179081295,0.4792366892744849,dedicated_negatives
0.0,0.34,0.41,82,200,0.34415559179081295,0.4792366892744849,dedicated_negatives
0.0,0.35000000000000003,0.41,82,200,0.34415559179081295,0.4792366892744849,dedicated_negatives
0.0,0.36,0.395,79,200,0.3298398699878317,0.4641177912550158,dedicated_negatives
0.0,0.37,0.34,68,200,0.2779143922159556,0.40811632967790723,dedicated_negatives
0.0,0.38,0.315,63,200,0.25462218077944276,0.38235084141033604,dedicated_negatives
0.0,0.39,0.305,61,200,0.24536314352669053,0.3719867987814547,dedicated_negatives
0.0,0.4,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.41000000000000003,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.42,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.43,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.44,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.45,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.46,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.47000000000000003,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.48,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.49,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.5,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.51,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.52,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.53,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.54,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.55,0.28,56,200,0.22236792842635128,0.34592431417771,dedicated_negatives
0.0,0.56,0.265,53,200,0.20868060011609973,0.33017702266551113,dedicated_negatives
0.0,0.5700000000000001,0.265,53,200,0.20868060011609973,0.33017702266551113,dedicated_negatives
0.0,0.58,0.265,53,200,0.20868060011609973,0.33017702266551113,dedicated_negatives
0.0,0.59,0.265,53,200,0.20868060011609973,0.33017702266551113,dedicated_negatives
0.0,0.6,0.265,53,200,0.20868060011609973,0.33017702266551113,dedicated_negatives
0.0,0.61,0.25,50,200,0.19508076816296532,0.3143422347961952,dedicated_negatives
0.0,0.62,0.25,50,200,0.19508076816296532,0.3143422347961952,dedicated_negatives
0.0,0.63,0.25,50,200,0.19508076816296532,0.3143422347961952,dedicated_negatives
0.0,0.64,0.25,50,200,0.19508076816296532,0.3143422347961952,dedicated_negatives
0.0,0.65,0.235,47,200,0.18157345326946356,0.29841492986724655,dedicated_negatives
0.0,0.66,0.22,44,200,0.16816453539463405,0.2823892279196257,dedicated_negatives
0.0,0.67,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.0,0.68,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.0,0.6900000000000001,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.0,0.7000000000000001,0.205,41,200,0.15486094831106376,0.26625819518074556,dedicated_negatives
0.0,0.71,0.195,39,200,0.14605441564505764,0.25544164796511815,dedicated_negatives
0.0,0.72,0.195,39,200,0.14605441564505764,0.25544164796511815,dedicated_negatives
0.0,0.73,0.18,36,200,0.13294550662534108,0.2391159371623843,dedicated_negatives
0.0,0.74,0.155,31,200,0.11139568514638545,0.211608058937256,dedicated_negatives
0.0,0.75,0.145,29,200,0.1028928513530641,0.20048781284894374,dedicated_negatives
0.0,0.76,0.145,29,200,0.1028928513530641,0.20048781284894374,dedicated_negatives
0.0,0.77,0.13,26,200,0.09028141365225628,0.18366463072730121,dedicated_negatives
0.0,0.78,0.11,22,200,0.07377190160716048,0.16092798300912986,dedicated_negatives
0.0,0.79,0.1,20,200,0.06566994117157123,0.14940686356308552,dedicated_negatives
0.0,0.8,0.08,16,200,0.04984015517626642,0.12599048979512317,dedicated_negatives
0.0,0.81,0.08,16,200,0.04984015517626642,0.12599048979512317,dedicated_negatives
0.0,0.8200000000000001,0.06,12,200,0.0346518499012715,0.10193263530685089,dedicated_negatives
0.0,0.8300000000000001,0.05,10,200,0.027382349028644986,0.08957905629784384,dedicated_negatives
0.0,0.84,0.03,6,200,0.013820125830748327,0.06389511973247333,dedicated_negatives
0.0,0.85,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.86,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.87,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.88,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.89,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.9,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.91,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.92,0.02,4,200,0.007804300176394188,0.050287865505193874,dedicated_negatives
0.0,0.93,0.01,2,200,0.0027466006037749346,0.03572248519617954,dedicated_negatives
0.0,0.9400000000000001,0.01,2,200,0.0027466006037749346,0.03572248519617954,dedicated_negatives
0.0,0.9500000000000001,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.96,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.97,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.98,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.99,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,1.0,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,0.0,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.01,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.02,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.03,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.04,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
